chip_name,climate
32PLR_04,Aw Tropical-Savanna
32PLR_05,Aw Tropical-Savanna
32PLR_06,Aw Tropical-Savanna
32PLR_07,Aw Tropical-Savanna
32PLR_08,Aw Tropical-Savanna
32PLR_09,Aw Tropical-Savanna
32PLR_10,Aw Tropical-Savanna
32PLR_11,Aw Tropical-Savanna
32PLR_12,Aw Tropical-Savanna
32PLR_13,Aw Tropical-Savanna
32PLR_14,Aw Tropical-Savanna
32PLR_15,Aw Tropical-Savanna
32PLR_16,Aw Tropical-Savanna
32PLR_17,Aw Tropical-Savanna
32PLR_18,Aw Tropical-Savanna
32PLR_19,Aw Tropical-Savanna
32PLR_20,Aw Tropical-Savanna
32PLR_21,Aw Tropical-Savanna
32PLR_22,Aw Tropical-Savanna
32PLR_23,Aw Tropical-Savanna
32PLR_24,Aw Tropical-Savanna
32PLR_25,Aw Tropical-Savanna
32PLR_26,Aw Tropical-Savanna
32PLR_27,Aw Tropical-Savanna
32PLR_28,Aw Tropical-Savanna
32PLR_29,Aw Tropical-Savanna
32PLS_00,Aw Tropical-Savanna
32PLS_01,Aw Tropical-Savanna
32PLS_02,Aw Tropical-Savanna
32PLS_03,Aw Tropical-Savanna
32PLS_04,Aw Tropical-Savanna
32PLS_05,Aw Tropical-Savanna
32PLS_06,Aw Tropical-Savanna
32PLS_07,Aw Tropical-Savanna
32PLS_08,Aw Tropical-Savanna
32PLS_09,Aw Tropical-Savanna
32PLS_10,Aw Tropical-Savanna
32PLS_11,Aw Tropical-Savanna
32PLS_12,Aw Tropical-Savanna
32PLS_13,Aw Tropical-Savanna
32PLS_14,Aw Tropical-Savanna
32PLS_15,Aw Tropical-Savanna
32PLS_16,Aw Tropical-Savanna
32PLS_17,Aw Tropical-Savanna
32PLS_18,Aw Tropical-Savanna
32PLS_19,Aw Tropical-Savanna
32PLS_20,Aw Tropical-Savanna
32PLS_21,Aw Tropical-Savanna
32PLS_22,Aw Tropical-Savanna
32PLS_23,Aw Tropical-Savanna
32PLS_24,Aw Tropical-Savanna
32PLS_25,Aw Tropical-Savanna
32PLS_26,Aw Tropical-Savanna
32PLS_27,Aw Tropical-Savanna
32PLS_28,Aw Tropical-Savanna
32PLS_29,Aw Tropical-Savanna
32PPA_00,BWh Arid-Desert-Hot
32PPA_01,BWh Arid-Desert-Hot
32PPA_02,BWh Arid-Desert-Hot
32PPA_03,BWh Arid-Desert-Hot
32PPA_04,BWh Arid-Desert-Hot
32PPA_05,BWh Arid-Desert-Hot
32PPA_06,BWh Arid-Desert-Hot
32PPA_07,BWh Arid-Desert-Hot
32PPA_08,BWh Arid-Desert-Hot
32PPA_09,BWh Arid-Desert-Hot
32PPA_10,BWh Arid-Desert-Hot
32PPA_11,BWh Arid-Desert-Hot
32PPA_12,BWh Arid-Desert-Hot
32PPA_13,BWh Arid-Desert-Hot
32PPA_14,BWh Arid-Desert-Hot
32PPA_15,BWh Arid-Desert-Hot
32PPA_16,BWh Arid-Desert-Hot
32PPA_17,BWh Arid-Desert-Hot
32PPA_18,BWh Arid-Desert-Hot
32PPA_19,BWh Arid-Desert-Hot
32PPA_20,BWh Arid-Desert-Hot
32PPA_21,BWh Arid-Desert-Hot
32PPA_22,BWh Arid-Desert-Hot
32PPA_23,BWh Arid-Desert-Hot
32PPA_24,BWh Arid-Desert-Hot
32PPA_25,BWh Arid-Desert-Hot
32PPA_26,BWh Arid-Desert-Hot
32PPA_27,BWh Arid-Desert-Hot
32PPA_28,BWh Arid-Desert-Hot
32PPA_29,BWh Arid-Desert-Hot
32PQQ_00,Aw Tropical-Savanna
32PQQ_01,Aw Tropical-Savanna
32PQQ_02,Aw Tropical-Savanna
32PQQ_03,Aw Tropical-Savanna
32PQQ_04,Aw Tropical-Savanna
32PQQ_05,Aw Tropical-Savanna
32PQQ_06,Aw Tropical-Savanna
32PQQ_07,Aw Tropical-Savanna
32PQQ_08,Aw Tropical-Savanna
32PQQ_09,Aw Tropical-Savanna
32PQQ_10,Aw Tropical-Savanna
32PQQ_11,Aw Tropical-Savanna
32PQQ_12,Aw Tropical-Savanna
32PQQ_13,Aw Tropical-Savanna
32PQQ_14,Aw Tropical-Savanna
32PQQ_15,Aw Tropical-Savanna
32PQQ_16,Aw Tropical-Savanna
32PQQ_17,Aw Tropical-Savanna
32PQQ_18,Aw Tropical-Savanna
32PQQ_19,Aw Tropical-Savanna
32PQQ_20,Aw Tropical-Savanna
32PQQ_21,Aw Tropical-Savanna
32PQQ_22,Aw Tropical-Savanna
32PQQ_23,Aw Tropical-Savanna
32PQQ_24,Aw Tropical-Savanna
32PQQ_25,Aw Tropical-Savanna
32PQQ_26,Aw Tropical-Savanna
32PQQ_27,Aw Tropical-Savanna
32PQQ_28,Aw Tropical-Savanna
32PQQ_29,Aw Tropical-Savanna
32PRQ_00,Aw Tropical-Savanna
32PRQ_01,Aw Tropical-Savanna
32PRQ_02,Aw Tropical-Savanna
32PRQ_03,Aw Tropical-Savanna
32PRQ_04,Aw Tropical-Savanna
32PRQ_05,Aw Tropical-Savanna
32PRQ_06,Aw Tropical-Savanna
32PRQ_07,Aw Tropical-Savanna
32PRQ_08,Aw Tropical-Savanna
32PRQ_09,Aw Tropical-Savanna
32PRQ_10,Aw Tropical-Savanna
32PRQ_11,Aw Tropical-Savanna
32PRQ_12,Aw Tropical-Savanna
32PRQ_13,Aw Tropical-Savanna
32PRQ_14,Aw Tropical-Savanna
32PRQ_15,Aw Tropical-Savanna
32PRQ_16,Aw Tropical-Savanna
32PRQ_17,Aw Tropical-Savanna
32PRQ_18,Aw Tropical-Savanna
32PRQ_19,Aw Tropical-Savanna
32PRQ_20,Aw Tropical-Savanna
32PRQ_21,Aw Tropical-Savanna
32PRQ_22,Aw Tropical-Savanna
32PRQ_23,Aw Tropical-Savanna
32PRQ_24,Aw Tropical-Savanna
32PRQ_25,Aw Tropical-Savanna
32PRQ_26,Aw Tropical-Savanna
32PRQ_27,Aw Tropical-Savanna
32PRQ_28,Aw Tropical-Savanna
32PRQ_29,Aw Tropical-Savanna
33KUT_00,BWh Arid-Desert-Hot
33KUT_01,BWh Arid-Desert-Hot
33KUT_02,
33KUT_03,BWh Arid-Desert-Hot
33KUT_04,
33KUT_05,BWh Arid-Desert-Hot
33KUT_06,BWh Arid-Desert-Hot
33KUT_07,BWh Arid-Desert-Hot
33KUT_08,BWh Arid-Desert-Hot
33KUT_09,BWh Arid-Desert-Hot
33KUT_10,BWh Arid-Desert-Hot
33KUT_11,BWh Arid-Desert-Hot
33KUT_12,BWh Arid-Desert-Hot
33KUT_13,BWh Arid-Desert-Hot
33KUT_14,BWh Arid-Desert-Hot
33KUT_15,BWh Arid-Desert-Hot
33KUT_16,BWh Arid-Desert-Hot
33KUT_17,BWh Arid-Desert-Hot
33KUT_18,BWh Arid-Desert-Hot
33KUT_19,BWh Arid-Desert-Hot
33KUT_20,BWh Arid-Desert-Hot
33KUT_21,BWh Arid-Desert-Hot
33KUT_22,BWh Arid-Desert-Hot
33KUT_23,BWh Arid-Desert-Hot
33KUT_24,BWh Arid-Desert-Hot
33KUT_25,BWh Arid-Desert-Hot
33KUT_26,BWh Arid-Desert-Hot
33KUT_27,BWh Arid-Desert-Hot
33KUT_28,BWh Arid-Desert-Hot
33KUT_29,BWh Arid-Desert-Hot
33KVU_00,BSh Arid-Steppe-Hot
33KVU_01,BWh Arid-Desert-Hot
33KVU_02,BWh Arid-Desert-Hot
33KVU_03,BWh Arid-Desert-Hot
33KVU_04,BSh Arid-Steppe-Hot
33KVU_05,BSh Arid-Steppe-Hot
33KVU_06,BWh Arid-Desert-Hot
33KVU_07,BSh Arid-Steppe-Hot
33KVU_08,BSh Arid-Steppe-Hot
33KVU_09,BSh Arid-Steppe-Hot
33KVU_10,BWh Arid-Desert-Hot
33KVU_11,BWh Arid-Desert-Hot
33KVU_12,BWh Arid-Desert-Hot
33KVU_13,BWh Arid-Desert-Hot
33KVU_14,BWh Arid-Desert-Hot
33KVU_15,BWh Arid-Desert-Hot
33KVU_16,BWh Arid-Desert-Hot
33KVU_17,BSh Arid-Steppe-Hot
33KVU_18,BSh Arid-Steppe-Hot
33KVU_19,BWh Arid-Desert-Hot
33KVU_20,BWh Arid-Desert-Hot
33KVU_21,BSh Arid-Steppe-Hot
33KVU_22,BWh Arid-Desert-Hot
33KVU_23,BWh Arid-Desert-Hot
33KVU_24,BSh Arid-Steppe-Hot
33KVU_25,BWh Arid-Desert-Hot
33KVU_26,BWh Arid-Desert-Hot
33KVU_27,BSh Arid-Steppe-Hot
33KVU_28,BWh Arid-Desert-Hot
33KVU_29,BSh Arid-Steppe-Hot
33KXV_00,BSh Arid-Steppe-Hot
33KXV_01,BSh Arid-Steppe-Hot
33KXV_02,BSh Arid-Steppe-Hot
33KXV_03,BSh Arid-Steppe-Hot
33KXV_04,BSh Arid-Steppe-Hot
33KXV_05,BSh Arid-Steppe-Hot
33KXV_06,BSh Arid-Steppe-Hot
33KXV_07,BSh Arid-Steppe-Hot
33KXV_08,BSh Arid-Steppe-Hot
33KXV_09,BSh Arid-Steppe-Hot
33KXV_10,BSh Arid-Steppe-Hot
33KXV_11,BSh Arid-Steppe-Hot
33KXV_12,BSh Arid-Steppe-Hot
33KXV_13,BSh Arid-Steppe-Hot
33KXV_14,BSh Arid-Steppe-Hot
33KXV_15,BSh Arid-Steppe-Hot
33KXV_16,BSh Arid-Steppe-Hot
33KXV_17,BSh Arid-Steppe-Hot
33KXV_18,BSh Arid-Steppe-Hot
33KXV_19,BSh Arid-Steppe-Hot
33KXV_20,BSh Arid-Steppe-Hot
33KXV_21,BSh Arid-Steppe-Hot
33KXV_22,BSh Arid-Steppe-Hot
33KXV_23,BSh Arid-Steppe-Hot
33KXV_24,BSh Arid-Steppe-Hot
33KXV_25,BSh Arid-Steppe-Hot
33KXV_26,BSh Arid-Steppe-Hot
33KXV_27,BSh Arid-Steppe-Hot
33KXV_28,BSh Arid-Steppe-Hot
33KXV_29,BSh Arid-Steppe-Hot
33LUC_00,Cwb Temperate-Dry_Winter-Warm_Summer
33LUC_01,BSh Arid-Steppe-Hot
33LUC_02,BSh Arid-Steppe-Hot
33LUC_03,Cwb Temperate-Dry_Winter-Warm_Summer
33LUC_04,BSh Arid-Steppe-Hot
33LUC_05,BSh Arid-Steppe-Hot
33LUC_06,BSh Arid-Steppe-Hot
33LUC_07,BSh Arid-Steppe-Hot
33LUC_08,Cwb Temperate-Dry_Winter-Warm_Summer
33LUC_09,BSh Arid-Steppe-Hot
33LUC_10,BSh Arid-Steppe-Hot
33LUC_11,BSh Arid-Steppe-Hot
33LUC_12,Cwb Temperate-Dry_Winter-Warm_Summer
33LUC_13,BSh Arid-Steppe-Hot
33LUC_14,BSh Arid-Steppe-Hot
33LUC_15,BSh Arid-Steppe-Hot
33LUC_16,BSh Arid-Steppe-Hot
33LUC_17,BSh Arid-Steppe-Hot
33LUC_18,BSh Arid-Steppe-Hot
33LUC_19,BSh Arid-Steppe-Hot
33LUC_20,BSh Arid-Steppe-Hot
33LUC_21,BSh Arid-Steppe-Hot
33LUC_22,BSh Arid-Steppe-Hot
33LUC_23,BSh Arid-Steppe-Hot
33LUC_24,BSh Arid-Steppe-Hot
33LUC_25,Cwb Temperate-Dry_Winter-Warm_Summer
33LUC_26,Cwb Temperate-Dry_Winter-Warm_Summer
33LUC_27,BSh Arid-Steppe-Hot
33LUC_28,BSh Arid-Steppe-Hot
33LUC_29,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_00,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_01,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_02,BSh Arid-Steppe-Hot
33LUD_03,BSh Arid-Steppe-Hot
33LUD_04,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_05,BSh Arid-Steppe-Hot
33LUD_06,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_07,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_08,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_09,BSh Arid-Steppe-Hot
33LUD_10,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_11,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_12,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_13,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_14,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_15,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_16,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_17,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_18,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_19,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_20,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_21,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_22,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_23,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_24,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_25,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_26,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_27,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_28,Cwb Temperate-Dry_Winter-Warm_Summer
33LUD_29,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_00,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_01,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_02,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_03,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_04,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_05,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_06,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_07,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_08,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_09,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_10,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_11,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_12,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_13,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_14,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_15,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_16,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_17,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_18,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_19,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_20,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_21,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_22,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_23,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_24,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_25,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_26,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_27,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_28,Cwb Temperate-Dry_Winter-Warm_Summer
33LYE_29,Cwb Temperate-Dry_Winter-Warm_Summer
33MZM_00,Aw Tropical-Savanna
33MZM_01,Aw Tropical-Savanna
33MZM_02,Aw Tropical-Savanna
33MZM_03,Aw Tropical-Savanna
33MZM_04,Aw Tropical-Savanna
33MZM_05,Aw Tropical-Savanna
33MZM_06,Aw Tropical-Savanna
33MZM_07,Aw Tropical-Savanna
33MZM_08,Aw Tropical-Savanna
33MZM_09,Aw Tropical-Savanna
33MZM_10,Aw Tropical-Savanna
33MZM_11,Aw Tropical-Savanna
33MZM_12,Aw Tropical-Savanna
33MZM_13,Aw Tropical-Savanna
33MZM_14,Aw Tropical-Savanna
33MZM_15,Aw Tropical-Savanna
33MZM_16,Aw Tropical-Savanna
33MZM_17,Aw Tropical-Savanna
33MZM_18,Aw Tropical-Savanna
33MZM_19,Aw Tropical-Savanna
33MZM_20,Aw Tropical-Savanna
33MZM_21,Aw Tropical-Savanna
33MZM_22,Aw Tropical-Savanna
33MZM_23,Aw Tropical-Savanna
33MZM_24,Aw Tropical-Savanna
33MZM_25,Aw Tropical-Savanna
33MZM_26,Aw Tropical-Savanna
33MZM_27,Aw Tropical-Savanna
33MZM_28,Aw Tropical-Savanna
